企業管理コード,所在地_都道府県,従業員数,決算期年,売上高_百万円,売上高利益率
A32252683,,119,2018,237,0.007
A32252683,,119,2019,236,0.0007
A33154959,,11,2018,349,0.0029
A33154959,,11,2019,297,0.002
A39021195,,57,2018,267,0.0005
A39021195,,57,2019,273,0.0034
A39153469,,173,2018,252,0.0063
A39153469,,173,2019,276,0.001
A39724470,,210,2018,313,0.0027
A39724470,,210,2019,293,0.0017
A56115782,,0,2018,311,0.0034
A56115782,,0,2019,318,0.0019
A58123777,,137,2018,285,0.0003
A58123777,,137,2019,276,0.0069
A61113462,,243,2018,343,-0.0009
A61113462,,243,2019,295,0.0047
A64125215,,89,2018,325,0.0023
A64125215,,89,2019,295,0.0009
A68004432,,146,2018,297,0.0029
A68004432,,146,2019,300,0.0054
A68004432,,146,2018,297,0.0029
A68004432,,146,2019,300,0.0054
A68089193,,80,2018,312,0.0037
A68089193,,80,2019,357,0.0033
A68144869,,259,2018,228,0.0041
A68144869,,259,2019,332,0.005
A68582247,,114,2018,329,0.0029
A68582247,,114,2019,297,0.004
A68605083,,88,2018,230,0.004
A68605083,,88,2019,247,0.0044
A68769394,,80,2018,314,0.0039
A68769394,,80,2019,289,0.0037
A68842144,,38,2018,271,0.0051
A68842144,,38,2019,340,0.0042
A00115478,29_奈良県,102,2018,337,0.0024
A00115478,,102,2019,258,0.0045
A14111030,,126,2018,311,0.0052
A14111030,,126,2019,300,0.005
A38725549,,279,2018,291,0.0006
A38725549,,279,2019,260,0.0045
A48078731,,187,2018,349,0.0034
A48078731,,187,2019,302,0.0038
A48644149,,120,2018,269,0.0044
A48644149,,120,2019,325,0.0026
A48650863,,175,2018,242,0.0053
A48650863,,175,2019,275,0.0094
A48672578,,29,2018,302,0.0046
A48672578,,29,2019,320,0.003
A48729661,,71,2018,335,0.0027
A48729661,,71,2019,332,0.0026
A56126972,,57,2018,250,0.0003
A56126972,,57,2019,280,0.0024
A08502994,30_和歌山県,110,2018,301,0.0036
A08502994,,110,2019,284,0.0018
A08680065,,0,2018,366,0.0042
A08680065,,0,2019,292,0.0039
A08692509,,161,2018,280,0.0011
A08692509,,161,2019,269,0.0026
A50116279,,139,2018,296,0.0055
A50116279,,139,2019,297,0.0046
A55129132,,0,2018,276,0.0047
A55129132,,0,2019,289,0.0054
A38147844,31_鳥取県,150,2018,278,0.0048
A38147844,,150,2019,264,0.0051
A78540069,,87,2018,303,0.0062
A78540069,,87,2019,285,0.0063
A78586800,,111,2018,287,0.0032
A78586800,,111,2019,334,0.0017
A88118168,,97,2018,328,0.0046
A88118168,,97,2019,262,0.0032
A88142979,,110,2018,278,0.0026
A88142979,,110,2019,260,0.0081
A78113843,32_島根県,154,2018,308,0.0042
A78113843,,154,2019,292,0.0029
A78134854,,0,2018,323,0.0044
A78134854,,0,2019,321,0.0058
A28177569,33_岡山県,137,2018,327,0.0029
A28177569,,137,2019,345,0.0035
A48001176,,62,2018,306,0.0015
A48001176,,62,2019,313,-0.0014
A48039778,,142,2018,284,0.0031
A48039778,,142,2019,265,-0.0002
A48552108,,51,2018,299,0.0025
A48552108,,51,2019,288,0.0062
A48552108,,51,2018,299,0.0025
A48552108,,51,2019,288,0.0062
A48558077,,140,2018,344,0.0029
A48558077,,140,2019,282,0.0007
A48558077,,140,2018,344,0.0029
A48558077,,140,2019,282,0.0007
A58579924,,75,2018,310,0.0027
A58579924,,75,2019,323,0.0043
A08104405,34_広島県,0,2018,277,0.0001
A08104405,,0,2019,269,0.0013
A08128415,,171,2018,331,0.0042
A08128415,,171,2019,305,0.005
A08144045,,68,2018,290,0.0048
A08144045,,68,2019,282,0.0045
A08507584,,190,2018,255,0.006
A08507584,,190,2019,302,0.0044
A08570230,,53,2018,315,0.0045
A08570230,,53,2019,290,0.0044
A08570230,,53,2018,315,0.0045
A08570230,,53,2019,290,0.0044
A08584511,,117,2018,285,0.0028
A08584511,,117,2019,277,-0.0006
A26127777,,111,2018,231,0.0061
A26127777,,111,2019,293,0.0002
A41110590,,163,2018,344,0.0031
A41110590,,163,2019,331,0.0014
A51119821,,189,2018,312,0.0034
A51119821,,189,2019,273,0.0048
A71119202,,288,2018,289,0.004
A71119202,,288,2019,281,0.003
A74116480,,61,2018,311,0.0023
A74116480,,61,2019,257,0.0037
A98682086,,293,2018,285,0.0046
A98682086,,293,2019,302,0.0041
A98848612,,94,2018,291,0.0018
A98848612,,94,2019,327,0.0048
A98857425,,179,2018,260,0.0053
A98857425,,179,2019,304,0.0041
A98926771,,1,2018,322,0.0037
A98926771,,1,2019,331,0.0043
A18084004,35_山口県,149,2018,263,0.0038
A18084004,,149,2019,309,0.0018
A18123020,,64,2018,309,0.0053
A18123020,,64,2019,304,0.0044
A44109603,,0,2018,297,0.006
A44109603,,0,2019,280,0.0063
A53129414,,16,2018,306,0.0025
A53129414,,16,2019,280,0.004
A58106569,,121,2018,291,0.0045
A58106569,,121,2019,288,0.0059
A58132939,,46,2018,296,0.006
A58132939,,46,2019,305,0.0061
A61122860,,89,2018,315,0.0006
A61122860,,89,2019,289,0.0033
A98774002,,177,2018,349,0.0036
A98774002,,177,2019,290,0.0043
A08590737,36_徳島県,177,2018,273,0.004
A08590737,,177,2019,328,0.0011
A22103080,37_香川県,0,2018,339,0.0011
A22103080,,0,2019,289,0.0012
A48009447,,177,2018,316,0.0055
A48009447,,177,2019,350,0.0034
A48579410,,107,2018,276,0.0037
A48579410,,107,2019,287,0.0022
A48579410,,107,2018,276,0.0037
A48579410,,107,2019,287,0.0022
A48593318,,210,2018,286,0.002
A48593318,,210,2019,276,0.0044
A00116790,38_愛媛県,91,2018,335,0.0034
A00116790,,91,2019,315,0.0052
A18037561,,60,2018,311,0.0021
A18037561,,60,2019,282,0.0055
A18055076,,172,2018,296,0.0038
A18055076,,172,2019,322,0.0023
A18159566,,65,2018,304,0.0075
A18159566,,65,2019,293,0.0053
A75117874,,38,2018,326,0.0035
A75117874,,38,2019,317,0.0028
A68584213,39_高知県,73,2018,329,0.005
A68584213,,73,2019,294,0.004
A68587152,,0,2018,345,0.0017
A68587152,,0,2019,305,0.0038
A68655834,,86,2018,251,0.003
A68655834,,86,2019,296,0.0054
A03112202,40_福岡県,88,2018,271,0.0045
A03112202,,88,2019,292,0.0039
A03112202,,88,2018,271,0.0045
A03112202,,88,2019,292,0.0039
A08126580,,204,2018,307,0.0083
A08126580,,204,2019,331,0.0019
A08130453,,4,2018,280,0.004
A08130453,,4,2019,269,0.0055
A10129780,,50,2018,308,0.0029
A10129780,,50,2019,297,0.0024
A34129513,,30,2018,315,0.0038
A34129513,,30,2019,314,0.0041
A42104021,,236,2018,377,0.0039
A42104021,,236,2019,308,0.0017
A46116380,,39,2018,325,0.0017
A46116380,,39,2019,257,0.0046
A48089627,,0,2018,312,0.0032
A48089627,,0,2019,355,0.0028
A48628697,,75,2018,325,-0.0001
A48628697,,75,2019,336,0.0024
A48737411,,213,2018,292,0.0038
A48737411,,213,2019,342,0.0031
A48751279,,163,2018,335,0.0026
A48751279,,163,2019,310,0.0039
A48768597,,206,2018,347,0.0061
A48768597,,206,2019,274,0.005
A50144057,,128,2018,340,0.0007
A50144057,,128,2019,273,0.0025
A54102312,,98,2018,292,0.0007
A54102312,,98,2019,303,0.0038
A55491072,,104,2018,332,0.0025
A55491072,,104,2019,239,0.0045
A56709860,,10,2018,282,0.0047
A56709860,,10,2019,332,0.0014
A57422320,,192,2018,322,0.0039
A57422320,,192,2019,304,0.0044
A85102844,,4,2018,312,0.0032
A85102844,,4,2019,267,0.0042
A86113055,,196,2018,291,0.0029
A86113055,,196,2019,293,0.0062
A90103800,,0,2018,309,0.0032
A90103800,,0,2019,290,0.0063
A96124375,,116,2018,319,0.0015
A96124375,,116,2019,313,0.0013
A98484327,,117,2018,300,0.0032
A98484327,,117,2019,272,0.0034
A98529361,,0,2018,297,0.0033
A98529361,,0,2019,315,0.0029
A98585157,,37,2018,346,0.0037
A98585157,,37,2019,280,0.0034
A98601844,,83,2018,268,0.0049
A98601844,,83,2019,325,0.0046
A98601844,,83,2018,268,0.0049
A98601844,,83,2019,325,0.0046
A98831048,,228,2018,248,0.0008
A98831048,,228,2019,286,0.0026
A98841380,,111,2018,248,0.003
A98841380,,111,2019,292,0.0022
A98950114,,30,2018,324,0.0047
A98950114,,30,2019,312,0.0038
A98996279,,60,2018,295,0.0043
A98996279,,60,2019,301,0.0042
A99103314,,152,2018,324,0.0016
A99103314,,152,2019,267,0.0039
A08100410,41_佐賀県,245,2018,300,0.0021
A08100410,,245,2019,296,0.0064
A15103127,,23,2018,337,0.0038
A15103127,,23,2019,293,0.0022
A18552320,,0,2018,269,0.0044
A18552320,,0,2019,333,0.0038
A18574021,,205,2018,282,0.0013
A18574021,,205,2019,292,0.0043
A18600201,,136,2018,318,0.0031
A18600201,,136,2019,291,0.004
A21124124,,0,2018,332,0.0037
A21124124,,0,2019,302,0.0032
A56482428,,197,2018,318,0.0034
A56482428,,197,2019,347,0.0014
A28531600,42_長崎県,84,2018,315,0.0044
A28531600,,84,2019,299,0.0054
A28650558,,158,2018,277,0.0023
A28650558,,158,2019,374,0.0023
A46112990,,0,2018,328,0.0005
A46112990,,0,2019,330,0.0025
A55102643,,134,2018,318,0.0025
A55102643,,134,2019,300,0.006
A58132066,,119,2018,299,0.0035
A58132066,,119,2019,321,0.0029
A57342163,43_熊本県,259,2018,284,0.0047
A57342163,,259,2019,295,0.0029
A88030548,,125,2018,305,0.0029
A88030548,,125,2019,270,0.0047
A88039708,,170,2018,277,0.0054
A88039708,,170,2019,306,0.0062
A88052910,,30,2018,251,0.0013
A88052910,,30,2019,292,0.0006
A88133609,,97,2018,335,0.0014
A88133609,,97,2019,286,0.0017
A88508741,,209,2018,307,0.0025
A88508741,,209,2019,290,0.0082
A88516006,,54,2018,332,0.0046
A88516006,,54,2019,293,0.0038
A88520074,,70,2018,372,0.0006
A88520074,,70,2019,224,0.0074
A88525376,,77,2018,290,0.0025
A88525376,,77,2019,245,0.0009
A88546464,,96,2018,272,0.0037
A88546464,,96,2019,293,0.0046
A88575363,,123,2018,294,0.0045
A88575363,,123,2019,303,0.0056
A88632560,,116,2018,299,0.0039
A88632560,,116,2019,293,0.0042
A91119949,,40,2018,249,0.0078
A91119949,,40,2019,298,0.002
A99123699,,79,2018,263,0.0024
A99123699,,79,2019,325,0.0006
A46125532,44_大分県,52,2018,287,0.0028
A46125532,,52,2019,253,0.0012
A56735708,,9,2018,243,0.0055
A56735708,,9,2019,281,0.0034
A68045054,,0,2018,290,0.0012
A68045054,,0,2019,321,0.0019
A68045054,,0,2018,290,0.0012
A68045054,,0,2019,321,0.0019
A68579199,,83,2018,311,0.0059
A68579199,,83,2019,288,0.0015
A04122913,45_宮崎県,0,2018,348,0.0039
A04122913,,0,2019,308,0.0051
A38130344,,0,2018,383,0.0048
A38130344,,0,2019,304,0.0038
A38633642,,155,2018,292,0.0042
A38633642,,155,2019,294,0.0023
A40128691,,0,2018,291,0.0036
A40128691,,0,2019,326,0.003
A21129507,46_鹿児島県,4,2018,236,0.0029
A21129507,,4,2019,322,0.005
A74113878,,209,2018,289,0.0001
A74113878,,209,2019,316,0.0023
A78516333,,93,2018,308,0.0008
A78516333,,93,2019,274,0.009
A78594964,,258,2018,254,0.0047
A78594964,,258,2019,279,0.0008
A78656869,,82,2018,311,0.0037
A78656869,,82,2019,284,0.0037
A98644635,47_沖縄県,93,2018,357,0.0028
A98644635,,93,2019,350,0.0023
A98647972,,11,2018,269,0.0022
A98647972,,11,2019,282,0.0028
