企業管理コード,従業員数,所在地_市区郡コード,所在地_都道府県名,決算期年,売上高_百万円
A68655834,86,39420,高知県,2018,251
A68655834,86,39420,高知県,2019,296
A68671505,72,20201,長野県,2018,306
A68671505,72,20201,長野県,2019,289
A68769394,80,28106,兵庫県,2018,314
A68769394,80,28106,兵庫県,2019,289
A68842144,38,28206,兵庫県,2018,271
A68842144,38,28206,兵庫県,2019,340
A69103360,-,22101,静岡県,2018,330
A69103360,-,22101,静岡県,2019,266
A70122665,105,13212,東京都,2018,278
A70122665,105,13212,東京都,2019,313
A70127978,-,13112,東京都,2018,274
A70127978,-,13112,東京都,2019,278
A71119202,288,34103,広島県,2018,289
A71119202,288,34103,広島県,2019,281
A73104395,187,15211,新潟県,2018,276
A73104395,187,15211,新潟県,2019,256
A73115521,166,01102,北海道,2018,274
A73115521,166,01102,北海道,2019,323
A74113878,209,46201,鹿児島県,2018,289
A74113878,209,46201,鹿児島県,2019,316
A74116480,61,34360,広島県,2018,311
A74116480,61,34360,広島県,2019,257
A74128147,112,03500,岩手県,2018,309
A74128147,112,03500,岩手県,2019,308
A75110692,133,15202,新潟県,2018,301
A75110692,133,15202,新潟県,2019,294
A75117874,38,38213,愛媛県,2018,326
A75117874,38,38213,愛媛県,2019,317
A75122406,176,01350,北海道,2018,289
A75122406,176,01350,北海道,2019,293
A78113843,154,32201,島根県,2018,308
A78113843,154,32201,島根県,2019,292
A78133528,110,18201,福井県,2018,308
A78133528,110,18201,福井県,2019,330
A78134854,-,32203,島根県,2018,323
A78134854,-,32203,島根県,2019,321
A78141213,10,07203,福島県,2018,316
A78141213,10,07203,福島県,2019,325
A78184754,252,07500,福島県,2018,252
A78184754,252,07500,福島県,2019,323
A78505646,79,07208,福島県,2018,286
A78505646,79,07208,福島県,2019,304
A78516333,93,46218,鹿児島県,2018,308
A78516333,93,46218,鹿児島県,2019,274
A78540069,87,31360,鳥取県,2018,303
A78540069,87,31360,鳥取県,2019,285
A78543609,198,18201,福井県,2018,345
A78543609,198,18201,福井県,2019,310
A78547727,217,07480,福島県,2018,256
A78547727,217,07480,福島県,2019,284
A78586800,111,31201,鳥取県,2018,287
A78586800,111,31201,鳥取県,2019,334
A78593580,219,07340,福島県,2018,299
A78593580,219,07340,福島県,2019,342
A78594964,258,46210,鹿児島県,2018,254
A78594964,258,46210,鹿児島県,2019,279
A78656869,82,46201,鹿児島県,2018,311
A78656869,82,46201,鹿児島県,2019,284
A80115699,43,25202,滋賀県,2018,333
A80115699,43,25202,滋賀県,2019,303
A80118210,234,08203,茨城県,2018,290
A80118210,234,08203,茨城県,2019,305
A80122090,75,14102,神奈川県,2018,324
A80122090,75,14102,神奈川県,2019,293
A80124600,93,15206,新潟県,2018,300
A80124600,93,15206,新潟県,2019,376
A81128840,118,27127,大阪府,2018,316
A81128840,118,27127,大阪府,2019,320
A82046260,239,11232,埼玉県,2018,278
A82046260,239,11232,埼玉県,2019,316
A82089907,193,11245,埼玉県,2018,291
A82089907,193,11245,埼玉県,2019,325
A82112559,187,05201,秋田県,2018,291
A82112559,187,05201,秋田県,2019,305
A82121486,239,20213,長野県,2018,325
A82121486,239,20213,長野県,2019,243
A82155279,82,11208,埼玉県,2018,280
A82155279,82,11208,埼玉県,2019,253
A82162935,59,11239,埼玉県,2018,371
A82162935,59,11239,埼玉県,2019,307
A82567680,168,11224,埼玉県,2018,325
A82567680,168,11224,埼玉県,2019,282
A82588498,69,11225,埼玉県,2018,310
A82588498,69,11225,埼玉県,2019,272
A82630324,161,11110,埼玉県,2018,308
A82630324,161,11110,埼玉県,2019,263
A82639387,156,11242,埼玉県,2018,297
A82639387,156,11242,埼玉県,2019,298
A82690563,117,11203,埼玉県,2018,291
A82690563,117,11203,埼玉県,2019,288
A85102844,4,40380,福岡県,2018,312
A85102844,4,40380,福岡県,2019,267
A85123856,-,10201,群馬県,2018,371
A85123856,-,10201,群馬県,2019,325
A86100062,133,06210,山形県,2018,302
A86100062,133,06210,山形県,2019,258
A86113055,196,40203,福岡県,2018,291
A86113055,196,40203,福岡県,2019,293
A86122878,91,04212,宮城県,2018,234
A86122878,91,04212,宮城県,2019,327
A88021931,172,11201,埼玉県,2018,362
A88021931,172,11201,埼玉県,2019,336
A88028359,117,11233,埼玉県,2018,324
A88028359,117,11233,埼玉県,2019,326
A88030548,125,43440,熊本県,2018,305
A88030548,125,43440,熊本県,2019,270
A88031992,106,11214,埼玉県,2018,310
A88031992,106,11214,埼玉県,2019,321
A88039708,170,43206,熊本県,2018,277
A88039708,170,43206,熊本県,2019,306
A88052910,30,43104,熊本県,2018,251
A88052910,30,43104,熊本県,2019,292
A88064301,260,27141,大阪府,2018,294
A88064301,260,27141,大阪府,2019,315
A88079676,-,16211,富山県,2018,302
A88079676,-,16211,富山県,2019,272
A88102330,237,06203,山形県,2018,307
A88102330,237,06203,山形県,2019,274
A88110491,176,01205,北海道,2018,303
A88110491,176,01205,北海道,2019,267
A88118168,97,31203,鳥取県,2018,328
A88118168,97,31203,鳥取県,2019,262
A88131102,253,16205,富山県,2018,352
A88131102,253,16205,富山県,2019,308
A88133609,97,43212,熊本県,2018,335
A88133609,97,43212,熊本県,2019,286
A88139414,40,13209,東京都,2018,320
A88139414,40,13209,東京都,2019,325
A88142979,110,31201,鳥取県,2018,278
A88142979,110,31201,鳥取県,2019,260
A88226959,54,11222,埼玉県,2018,321
A88226959,54,11222,埼玉県,2019,316
A88371714,10,11240,埼玉県,2018,303
A88371714,10,11240,埼玉県,2019,273
A88396010,68,11106,埼玉県,2018,309
A88396010,68,11106,埼玉県,2019,332
A88508249,191,13215,東京都,2018,319
A88508249,191,13215,東京都,2019,333
A88508741,209,43214,熊本県,2018,307
A88508741,209,43214,熊本県,2019,290
A88516006,54,43208,熊本県,2018,332
A88516006,54,43208,熊本県,2019,293
A88518261,170,27208,大阪府,2018,315
A88518261,170,27208,大阪府,2019,310
A88520074,70,43215,熊本県,2018,372
A88520074,70,43215,熊本県,2019,224
A88525376,77,43104,熊本県,2018,290
A88525376,77,43104,熊本県,2019,245
A88537932,52,24440,三重県,2018,292
A88537932,52,24440,三重県,2019,263
A88546464,96,43500,熊本県,2018,272
A88546464,96,43500,熊本県,2019,293
A88549109,-,24208,三重県,2018,247
A88549109,-,24208,三重県,2019,240
A88561184,48,11221,埼玉県,2018,341
A88561184,48,11221,埼玉県,2019,272
A88575363,123,43101,熊本県,2018,294
A88575363,123,43101,熊本県,2019,303
A88632560,116,43103,熊本県,2018,299
A88632560,116,43103,熊本県,2019,293
A88686332,-,13209,東京都,2018,263
A88686332,-,13209,東京都,2019,295
A89122413,182,12203,千葉県,2018,281
A89122413,182,12203,千葉県,2019,312
A89125290,106,20202,長野県,2018,315
A89125290,106,20202,長野県,2019,272
A90103800,-,40132,福岡県,2018,309
A90103800,-,40132,福岡県,2019,290
A90114236,144,01231,北海道,2018,250
A90114236,144,01231,北海道,2019,324
A90124756,93,09201,栃木県,2018,261
A90124756,93,09201,栃木県,2019,302
A91119949,40,43101,熊本県,2018,249
A91119949,40,43101,熊本県,2019,298
A92022319,101,14201,神奈川県,2018,263
A92022319,101,14201,神奈川県,2019,231
A92078899,201,23203,愛知県,2018,329
A92078899,201,23203,愛知県,2019,283
A92198746,148,14207,神奈川県,2018,276
A92198746,148,14207,神奈川県,2019,279
A92237591,60,14212,神奈川県,2018,297
A92237591,60,14212,神奈川県,2019,357
A92358930,103,13104,東京都,2018,288
A92358930,103,13104,東京都,2019,232
A92675941,145,14380,神奈川県,2018,332
A92675941,145,14380,神奈川県,2019,266
A92718494,123,23206,愛知県,2018,324
A92718494,123,23206,愛知県,2019,275
A92744130,54,14134,神奈川県,2018,300
A92744130,54,14134,神奈川県,2019,269
A92846615,29,23220,愛知県,2018,321
A92846615,29,23220,愛知県,2019,323
A92852152,129,14201,神奈川県,2018,276
A92852152,129,14201,神奈川県,2019,283
A92861912,203,23110,愛知県,2018,249
A92861912,203,23110,愛知県,2019,298
A92878974,97,23219,愛知県,2018,297
A92878974,97,23219,愛知県,2019,358
A92916573,7,14112,神奈川県,2018,298
A92916573,7,14112,神奈川県,2019,372
A94117283,55,22203,静岡県,2018,233
A94117283,55,22203,静岡県,2019,281
A96106491,146,23206,愛知県,2018,258
A96106491,146,23206,愛知県,2019,312
A96124375,116,40131,福岡県,2018,319
A96124375,116,40131,福岡県,2019,313
A98002025,131,26108,京都府,2018,324
A98002025,131,26108,京都府,2019,281
A98014092,-,04202,宮城県,2018,300
A98014092,-,04202,宮城県,2019,335
A98039724,194,14101,神奈川県,2018,287
A98039724,194,14101,神奈川県,2019,281
A98056340,79,14108,神奈川県,2018,334
A98056340,79,14108,神奈川県,2019,343
A98060860,74,23440,愛知県,2018,310
A98060860,74,23440,愛知県,2019,276
A98130851,6,26110,京都府,2018,288
A98130851,6,26110,京都府,2019,269
A98164058,287,23105,愛知県,2018,325
A98164058,287,23105,愛知県,2019,313
A98165237,219,23219,愛知県,2018,302
A98165237,219,23219,愛知県,2019,271
A98192383,25,23109,愛知県,2018,264
A98192383,25,23109,愛知県,2019,312
A98196095,85,26107,京都府,2018,304
A98196095,85,26107,京都府,2019,292
A98197995,167,23111,愛知県,2018,253
A98197995,167,23111,愛知県,2019,303
A98198856,124,20214,長野県,2018,321
A98198856,124,20214,長野県,2019,387
A98205461,62,04203,宮城県,2018,316
A98205461,62,04203,宮城県,2019,274
A98252893,-,14152,神奈川県,2018,296
A98252893,-,14152,神奈川県,2019,268
A98256801,174,14134,神奈川県,2018,275
A98256801,174,14134,神奈川県,2019,286
A98264090,-,14133,神奈川県,2018,290
A98264090,-,14133,神奈川県,2019,279
A98300800,13,23212,愛知県,2018,355
A98300800,13,23212,愛知県,2019,229
A98343188,136,21204,岐阜県,2018,353
A98343188,136,21204,岐阜県,2019,323
A98356018,22,14153,神奈川県,2018,346
A98356018,22,14153,神奈川県,2019,287
A98373936,113,23206,愛知県,2018,310
A98373936,113,23206,愛知県,2019,303
A98382022,125,23234,愛知県,2018,295
A98382022,125,23234,愛知県,2019,313
A98418901,60,04105,宮城県,2018,361
A98418901,60,04105,宮城県,2019,316
A98435397,157,04101,宮城県,2018,274
A98435397,157,04101,宮城県,2019,288
A98460293,-,04440,宮城県,2018,284
A98460293,-,04440,宮城県,2019,267
A98468872,-,04101,宮城県,2018,307
A98468872,-,04101,宮城県,2019,272
A98484327,117,40230,福岡県,2018,300
A98484327,117,40230,福岡県,2019,272
A98529361,-,40132,福岡県,2018,297
A98529361,-,40132,福岡県,2019,315
A98534640,77,20220,長野県,2018,279
A98534640,77,20220,長野県,2019,307
A98545550,-,26104,京都府,2018,269
A98545550,-,26104,京都府,2019,297
A98574906,85,26340,京都府,2018,315
A98574906,85,26340,京都府,2019,280
A98585157,37,40132,福岡県,2018,346
A98585157,37,40132,福岡県,2019,280
A98601844,83,40134,福岡県,2018,268
A98601844,83,40134,福岡県,2019,325
A98607246,94,20204,長野県,2018,332
A98607246,94,20204,長野県,2019,324
A98644635,93,47215,沖縄県,2018,357
A98644635,93,47215,沖縄県,2019,350
A98647972,11,47208,沖縄県,2018,269
A98647972,11,47208,沖縄県,2019,282
A98662626,112,26110,京都府,2018,292
A98662626,112,26110,京都府,2019,319
A98669565,-,26204,京都府,2018,359
A98669565,-,26204,京都府,2019,248
A98682086,293,34102,広島県,2018,285
A98682086,293,34102,広島県,2019,302
A98696566,159,26108,京都府,2018,287
A98696566,159,26108,京都府,2019,333
A98717959,-,21206,岐阜県,2018,308
A98717959,-,21206,岐阜県,2019,312
A98760542,95,26104,京都府,2018,310
A98760542,95,26104,京都府,2019,319
A98774002,177,35320,山口県,2018,349
A98774002,177,35320,山口県,2019,290
A98793237,79,26103,京都府,2018,303
A98793237,79,26103,京都府,2019,326
A98801100,103,04600,宮城県,2018,285
A98801100,103,04600,宮城県,2019,324
A98823023,41,04213,宮城県,2018,274
A98823023,41,04213,宮城県,2019,313
A98831048,228,40205,福岡県,2018,248
A98831048,228,40205,福岡県,2019,286
A98836874,162,14118,神奈川県,2018,298
A98836874,162,14118,神奈川県,2019,323
A98841380,111,40133,福岡県,2018,248
A98841380,111,40133,福岡県,2019,292
A98848612,94,34106,広島県,2018,291
A98848612,94,34106,広島県,2019,327
A98851451,63,04202,宮城県,2018,273
A98851451,63,04202,宮城県,2019,274
A98857425,179,34212,広島県,2018,260
A98857425,179,34212,広島県,2019,304
A98866311,106,26201,京都府,2018,257
A98866311,106,26201,京都府,2019,341
A98880720,-,13111,東京都,2018,259
A98880720,-,13111,東京都,2019,321
A98883798,202,14212,神奈川県,2018,288
A98883798,202,14212,神奈川県,2019,280
A98922744,71,14380,神奈川県,2018,308
A98922744,71,14380,神奈川県,2019,281
A98926771,1,34212,広島県,2018,322
A98926771,1,34212,広島県,2019,331
A98931885,86,14107,神奈川県,2018,306
A98931885,86,14107,神奈川県,2019,278
A98950114,30,40132,福岡県,2018,324
A98950114,30,40132,福岡県,2019,312
A98996279,60,40137,福岡県,2018,295
A98996279,60,40137,福岡県,2019,301
A99103314,152,40106,福岡県,2018,324
A99103314,152,40106,福岡県,2019,267
A99123699,79,43400,熊本県,2018,263
A99123699,79,43400,熊本県,2019,325
